dist_name,reg_name,indicator,value,basis
Temeke,Dar es Salaam,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Kwimba,Mwanza,lightning,8,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Sengerema,Mwanza,lightning,9,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Ubungo,Dar es Salaam,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Ilemela,Mwanza,lightning,9,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Ilala,Dar es Salaam,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Ukerewe,Mwanza,lightning,9,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Kinondoni,Dar es Salaam,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Namtumbo,Ruvuma,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Nzega,Tabora,lightning,5,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Magu,Mwanza,lightning,8,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Uyui,Tabora,lightning,5,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Songea,Ruvuma,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Igunga,Tabora,lightning,5,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Tunduru,Ruvuma,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Sikonge,Tabora,lightning,5,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Nyasa,Ruvuma,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Urambo,Tabora,lightning,5,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Mbinga,Ruvuma,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Kaliua,Tabora,lightning,5,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Tabora,Tabora,lightning,5,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Mkinga,Tanga,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Kiteto,Manyara,lightning,4,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Geita,Geita,lightning,9,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Lushoto,Tanga,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Korogwe,Tanga,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Mbogwe,Geita,lightning,8,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Muheza,Tanga,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Hanang,Manyara,lightning,4,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Nyang'hwale,Geita,lightning,8,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Tanga,Tanga,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Babati,Manyara,lightning,4,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Chato,Geita,lightning,9,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Pangani,Tanga,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Simanjiro,Manyara,lightning,4,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Bukombe,Geita,lightning,8,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Handeni,Tanga,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Missenyi,Kagera,lightning,8,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Mbulu,Manyara,lightning,4,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Kilindi,Tanga,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Biharamulo,Kagera,lightning,8,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Muleba,Kagera,lightning,9,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Kyerwa,Kagera,lightning,8,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Ngara,Kagera,lightning,8,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Bukoba,Kagera,lightning,9,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Karagwe,Kagera,lightning,8,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Kishapu,Shinyanga,lightning,6,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Mkalama,Singida,lightning,4,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Shinyanga,Shinyanga,lightning,6,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Manyoni,Singida,lightning,4,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Kahama,Shinyanga,lightning,6,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Ikungi,Singida,lightning,4,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Iramba,Singida,lightning,4,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Singida,Singida,lightning,4,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Bunda,Mara,lightning,9,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Butiama,Mara,lightning,8,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Serengeti,Mara,lightning,8,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Musoma,Mara,lightning,9,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Rorya,Mara,lightning,9,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Chemba,Dodoma,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Kilombero,Morogoro,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Busega,Simiyu,lightning,9,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Bahi,Dodoma,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Morogoro,Morogoro,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Dodoma,Dodoma,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Kilosa,Morogoro,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Tarime,Mara,lightning,8,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Meatu,Simiyu,lightning,7,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Chamwino,Dodoma,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Maswa,Simiyu,lightning,7,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Kongwa,Dodoma,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Gairo,Morogoro,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Bariadi,Simiyu,lightning,8,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Mpwapwa,Dodoma,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Mvomero,Morogoro,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Itilima,Simiyu,lightning,7,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Kondoa,Dodoma,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Malinyi,Morogoro,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Ulanga,Morogoro,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Nanyumbu,Mtwara,lightning,2,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Tandahimba,Mtwara,lightning,2,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Masasi,Mtwara,lightning,2,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Newala,Mtwara,lightning,2,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Mtwara,Mtwara,lightning,2,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Kigoma,Kigoma,lightning,7,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Kasulu,Kigoma,lightning,7,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Mbarali,Mbeya,lightning,5,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Kibondo,Kigoma,lightning,7,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Rungwe,Mbeya,lightning,5,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Kyela,Mbeya,lightning,5,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Mbeya,Mbeya,lightning,5,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Kakonko,Kigoma,lightning,7,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Chunya,Mbeya,lightning,5,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Buhigwe,Kigoma,lightning,7,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Uvinza,Kigoma,lightning,7,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Kibaha,Pwani,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Ngorongoro,Arusha,lightning,5,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Kisarawe,Pwani,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Arusha,Arusha,lightning,5,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Longido,Arusha,lightning,5,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Bagamoyo,Pwani,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Karatu,Arusha,lightning,5,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Mafia,Pwani,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Mlele,Katavi,lightning,5,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Monduli,Arusha,lightning,5,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Kibiti,Pwani,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Tanganyika,Katavi,lightning,5,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Arumeru,Arusha,lightning,5,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Mkuranga,Pwani,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Mpanda,Katavi,lightning,5,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Rufiji,Pwani,lightning,3,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Nachingwea,Lindi,lightning,2,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Liwale,Lindi,lightning,2,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Ruangwa,Lindi,lightning,2,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Kilwa,Lindi,lightning,2,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Lindi,Lindi,lightning,2,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Kalambo,Rukwa,lightning,5,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Sumbawanga,Rukwa,lightning,5,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Iringa,Iringa,lightning,4,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Nkasi,Rukwa,lightning,5,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Mufindi,Iringa,lightning,4,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Kilolo,Iringa,lightning,4,Lake Victoria basin lightning hotspot (NASA LIS/OTD; one of Earth’s highest flash densities)
Rombo,Kilimanjaro,volcano,5,East African Rift volcanism (Ol Doinyo Lengai active; Rungwe province; Kilimanjaro/Meru dormant)
Same,Kilimanjaro,volcano,4,East African Rift volcanism (Ol Doinyo Lengai active; Rungwe province; Kilimanjaro/Meru dormant)
Mwanga,Kilimanjaro,volcano,4,East African Rift volcanism (Ol Doinyo Lengai active; Rungwe province; Kilimanjaro/Meru dormant)
Ileje,Songwe,volcano,6,East African Rift volcanism (Ol Doinyo Lengai active; Rungwe province; Kilimanjaro/Meru dormant)
Hai,Kilimanjaro,volcano,5,East African Rift volcanism (Ol Doinyo Lengai active; Rungwe province; Kilimanjaro/Meru dormant)
Moshi,Kilimanjaro,volcano,5,East African Rift volcanism (Ol Doinyo Lengai active; Rungwe province; Kilimanjaro/Meru dormant)
Siha,Kilimanjaro,volcano,5,East African Rift volcanism (Ol Doinyo Lengai active; Rungwe province; Kilimanjaro/Meru dormant)
Mbarali,Mbeya,volcano,4,East African Rift volcanism (Ol Doinyo Lengai active; Rungwe province; Kilimanjaro/Meru dormant)
Rungwe,Mbeya,volcano,7,East African Rift volcanism (Ol Doinyo Lengai active; Rungwe province; Kilimanjaro/Meru dormant)
Kyela,Mbeya,volcano,6,East African Rift volcanism (Ol Doinyo Lengai active; Rungwe province; Kilimanjaro/Meru dormant)
Mbeya,Mbeya,volcano,5,East African Rift volcanism (Ol Doinyo Lengai active; Rungwe province; Kilimanjaro/Meru dormant)
Ngorongoro,Arusha,volcano,8,East African Rift volcanism (Ol Doinyo Lengai active; Rungwe province; Kilimanjaro/Meru dormant)
Arusha,Arusha,volcano,5,East African Rift volcanism (Ol Doinyo Lengai active; Rungwe province; Kilimanjaro/Meru dormant)
Longido,Arusha,volcano,7,East African Rift volcanism (Ol Doinyo Lengai active; Rungwe province; Kilimanjaro/Meru dormant)
Karatu,Arusha,volcano,4,East African Rift volcanism (Ol Doinyo Lengai active; Rungwe province; Kilimanjaro/Meru dormant)
Monduli,Arusha,volcano,6,East African Rift volcanism (Ol Doinyo Lengai active; Rungwe province; Kilimanjaro/Meru dormant)
Arumeru,Arusha,volcano,6,East African Rift volcanism (Ol Doinyo Lengai active; Rungwe province; Kilimanjaro/Meru dormant)
Rombo,Kilimanjaro,zoonoses,5,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Momba,Songwe,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Songwe,Songwe,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Same,Kilimanjaro,zoonoses,6,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Njombe,Njombe,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Mbozi,Songwe,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Mwanga,Kilimanjaro,zoonoses,5,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Ludewa,Njombe,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Ileje,Songwe,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Hai,Kilimanjaro,zoonoses,5,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Makete,Njombe,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Moshi,Kilimanjaro,zoonoses,5,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Wanging'ombe,Njombe,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Siha,Kilimanjaro,zoonoses,5,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Namtumbo,Ruvuma,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Nzega,Tabora,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Uyui,Tabora,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Songea,Ruvuma,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Igunga,Tabora,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Tunduru,Ruvuma,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Sikonge,Tabora,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Nyasa,Ruvuma,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Urambo,Tabora,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Mbinga,Ruvuma,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Kaliua,Tabora,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Tabora,Tabora,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Kiteto,Manyara,zoonoses,7,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Hanang,Manyara,zoonoses,6,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Babati,Manyara,zoonoses,6,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Simanjiro,Manyara,zoonoses,6,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Mbulu,Manyara,zoonoses,6,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Mkalama,Singida,zoonoses,5,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Manyoni,Singida,zoonoses,5,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Ikungi,Singida,zoonoses,5,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Iramba,Singida,zoonoses,5,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Singida,Singida,zoonoses,5,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Chemba,Dodoma,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Kilombero,Morogoro,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Bahi,Dodoma,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Morogoro,Morogoro,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Dodoma,Dodoma,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Kilosa,Morogoro,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Chamwino,Dodoma,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Kongwa,Dodoma,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Gairo,Morogoro,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Mpwapwa,Dodoma,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Mvomero,Morogoro,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Kondoa,Dodoma,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Malinyi,Morogoro,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Ulanga,Morogoro,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Kigoma,Kigoma,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Kasulu,Kigoma,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Mbarali,Mbeya,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Kibondo,Kigoma,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Rungwe,Mbeya,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Kyela,Mbeya,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Mbeya,Mbeya,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Kakonko,Kigoma,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Chunya,Mbeya,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Buhigwe,Kigoma,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Uvinza,Kigoma,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Ngorongoro,Arusha,zoonoses,7,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Arusha,Arusha,zoonoses,6,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Longido,Arusha,zoonoses,7,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Karatu,Arusha,zoonoses,6,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Mlele,Katavi,zoonoses,4,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
Monduli,Arusha,zoonoses,7,"2020 desert-locust invasion (north), fall armyworm (maize belts), livestock disease (pastoral), tsetse (west)"
